Caller,API,Relationship,Counts
ee.Dictionary,millis,Total,299278
ee.Dictionary,multiply,Total,307385
ee.Dictionary,pow,Total,321005
ee.Dictionary,producersAccuracy,Total,50544
ee.Dictionary,projection,Total,285466
ee.Dictionary,propertyNames,Total,72242
ee.Dictionary,reduce,Total,291538
ee.Dictionary,reduceColumns,Total,307542
ee.Dictionary,reduceRegion,Total,454610
ee.Dictionary,remove,Total,245820
ee.Dictionary,replace,Total,279928
ee.Dictionary,select,Total,445292
ee.Dictionary,set,Total,302298
ee.Dictionary,size,Total,390729
ee.Dictionary,slice,Total,250769
ee.Dictionary,sort,Total,236598
ee.Dictionary,split,Total,63268
ee.Dictionary,sqrt,Total,307936
ee.Dictionary,subtract,Total,320119
ee.Dictionary,toBands,Total,138884
ee.Dictionary,toDictionary,Total,308080
ee.Dictionary,toGeoJSONString,Total,49386
ee.Dictionary,toList,Total,241693
ee.Dictionary,union,Total,200954
ee.Dictionary,unmask,Total,300186
ee.Dictionary,updateMask,Total,361150
ee.Dictionary,values,Total,365602
ee.Dictionary,zip,Total,193230
ee.Feature,accuracy,Total,305196
ee.Feature,add,Total,422406
ee.Feature,addBands,Total,233076
ee.Feature,advance,Total,244122
ee.Feature,aggregate_array,Total,189838
ee.Feature,aggregate_max,Total,241184
ee.Feature,aggregate_mean,Total,336065
ee.Feature,aggregate_min,Total,261876
ee.Feature,aggregate_sum,Total,271002
ee.Feature,area,Total,351012
ee.Feature,array,Total,307480
ee.Feature,bandNames,Total,429438
ee.Feature,bounds,Total,243114
ee.Feature,buffer,Total,440527
ee.Feature,cat,Total,193762
ee.Feature,centroid,Total,332754
ee.Feature,classify,Total,134432
ee.Feature,clip,Total,286712
ee.Feature,clipToCollection,Total,79642
ee.Feature,combine,Total,270792
ee.Feature,consumersAccuracy,Total,305196
ee.Feature,contains,Total,145448
ee.Feature,convexHull,Total,139694
ee.Feature,coordinates,Total,368866
ee.Feature,copyProperties,Total,282562
ee.Feature,cut,Total,296010
ee.Feature,date,Total,431622
ee.Feature,difference,Total,48828
ee.Feature,dissolve,Total,230166
ee.Feature,divide,Total,339383
ee.Feature,ee.Array,Total,272544
ee.Feature,ee.Date,Total,311943
ee.Feature,ee.DateRange,Total,8744
ee.Feature,ee.Dictionary,Total,389269
ee.Feature,ee.ErrorMargin,Total,218320
ee.Feature,ee.Feature,Total,426035
ee.Feature,ee.FeatureCollection,Total,416695
ee.Feature,ee.Geometry,Total,394493
ee.Feature,ee.Image,Total,375383
ee.Feature,ee.ImageCollection,Total,278238
ee.Feature,ee.List,Total,442853
ee.Feature,ee.Number,Total,450861
ee.Feature,ee.Projection,Total,283960
ee.Feature,ee.String,Total,447654
ee.Feature,eq,Total,172524
ee.Feature,errorMatrix,Total,307670
ee.Feature,filter,Total,396001
ee.Feature,filterBounds,Total,430837
ee.Feature,filterDate,Total,29652
ee.Feature,first,Total,459364
ee.Feature,flatten,Total,143380
ee.Feature,format,Total,293860
ee.Feature,geometries,Total,78804
ee.Feature,geometry,Total,452810
ee.Feature,get,Total,461490
ee.Feature,getArray,Total,120808
ee.Feature,getInfo,Total,287620
ee.Feature,getNumber,Total,292285
ee.Feature,getRegion,Total,142184
ee.Feature,getString,Total,243622
ee.Feature,gte,Total,63235
ee.Feature,id,Total,420555
ee.Feature,indexOf,Total,442044
ee.Feature,int,Total,278072
ee.Feature,intersection,Total,214604
ee.Feature,iterate,Total,298956
ee.Feature,kappa,Total,307480
ee.Feature,keys,Total,265862
ee.Feature,length,Total,306442
ee.Feature,limit,Total,279322
ee.Feature,lte,Total,189705
ee.Feature,map,Total,274527
ee.Feature,max,Total,220688
ee.Feature,mean,Total,246596
ee.Feature,merge,Total,307872
ee.Feature,millis,Total,299278
ee.Feature,multiply,Total,406415
ee.Feature,order,Total,66610
ee.Feature,pow,Total,271850
ee.Feature,producersAccuracy,Total,305196
ee.Feature,propertyNames,Total,363361
ee.Feature,random,Total,96538
ee.Feature,randomColumn,Total,245626
ee.Feature,reduce,Total,259830
ee.Feature,reduceColumns,Total,290240
ee.Feature,reduceRegion,Total,419883
ee.Feature,reduceToVectors,Total,276246
ee.Feature,sample,Total,404923
ee.Feature,sampleRegions,Total,41440
ee.Feature,select,Total,305616
ee.Feature,set,Total,418523
ee.Feature,setGeometry,Total,234806
ee.Feature,simplify,Total,103080
ee.Feature,size,Total,436484
ee.Feature,slice,Total,45261
ee.Feature,sort,Total,306442
ee.Feature,split,Total,183775
ee.Feature,subtract,Total,459793
ee.Feature,toArray,Total,244036
ee.Feature,toBands,Total,108340
ee.Feature,toDictionary,Total,307580
ee.Feature,toList,Total,440380
ee.Feature,union,Total,410054
ee.Feature,updateMask,Total,126470
ee.Feature,values,Total,251190
ee.FeatureCollection,accuracy,Total,327792
ee.FeatureCollection,add,Total,435590
ee.FeatureCollection,addBands,Total,382542
ee.FeatureCollection,advance,Total,454963
ee.FeatureCollection,aggregate_array,Total,402248
ee.FeatureCollection,aggregate_first,Total,234056
